প্রজেস্টেরন B-HORMONE
চিকিৎসার O
জন্য O
ব্যবহৃত O
হয়। O

জাম্বুরা O
এবং O
আঙ্গুরের O
রস O
এড়ানো O
উচিত, O
কারণ O
তারা O
অ্যামিট্রিপটাইলাইনের O
সাথে O
যোগাযোগ O
করতে O
পারে। O
অতিরিক্তভাবে, O
অ্যালকোহল O
সতর্কতার O
সাথে O
ব্যবহার O
করা O
উচিত, O
কারণ O
এটি O
ওষুধের O
নিরাময়কারী O
প্রভাবকে O
বাড়িয়ে O
তুলতে O
পারে। O

৪০ O
বছর O
বয়সের O
পর O
যে O
কেউ O
আক্রান্ত O
হতে O
পারেন O
এসব O
রোগে O
। O

আমার O
গলা B-ORGAN
এর O
স্বর O
পাল্টে B-SYMPTOM
গেছে O
এখন O
কথা O
বলতে O
গেলে O
ও O
অনেক O
কষ্ট B-SYMPTOM
হয় O

বেনজয়াইল O
পারক্সাইডের O
অ্যান্টিব্যাকটেরিয়াল B-PHARMACOLOGICAL_CLASS
ক্রিয়া O
তার O
মুক্ত O
র্যাডিকেল O
তৈরি O
করার O
ক্ষমতা O
থেকে O
উদ্ভূত O
হয়। O
এই O
র্যাডিকেলগুলি O
ব্যাকটেরিয়া O
প্রোটিনের O
সাথে O
অ-বিশেষভাবে O
যোগাযোগ O
করে, O
তাদের O
কার্যকারিতা O
এবং O
বেঁচে O
থাকার O
সাথে O
হস্তক্ষেপ O
করে। O
এই O
প্রক্রিয়াটি O
ব্রণ O
ভালগারিস O
এবং O
রোসেসিয়ার O
জন্য O
বেনজয়েল O
পারক্সাইডকে O
একটি O
কার্যকর O
চিকিত্সা O
করে O
তোলে। O
অন্যান্য O
টপিকাল O
অ্যান্টিবায়োটিকের O
বিপরীতে, O
বেনজয়াইল O
পারক্সাইড O
ড্রাগ O
প্রতিরোধের O
বিকাশের O
লক্ষণ O
দেখায়নি। O

মেট্রোনিডাজল O
হল O
একটি O
অ্যান্টিবায়োটিক B-PHARMACOLOGICAL_CLASS
যা O
বিভিন্ন O
ধরণের O
ব্যাকটেরিয়া O
সংক্রমণের O
চিকিৎসার O
জন্য O
ব্যবহৃত O
হয়। O
মস্তিষ্ক, O
শ্বাসতন্ত্র, O
হার্ট, O
ত্বক, O
যকৃত, O
জয়েন্ট, O
পাকস্থলী, O
অন্ত্র O
এবং O
যোনিতে O
ঘটতে O
থাকা O
বিভিন্ন O
সংক্রমণ O
মেট্রোনিডাজল O
দিয়ে O
চিকিত্সা O
করা O
যেতে O
পারে। O

গর্ভাবস্থার O
প্রথম O
তিন O
মাসে O
ওয়ারফারিন O
গ্রহণ O
নিষেধ, O
কারণ O
টেরাটোজেনিসিটির B-DISEASE
সম্ভাবনা O
রয়েছে। O

লোরাটাডিন O
একটি O
অ্যান্টিহিস্টামিন B-PHARMACOLOGICAL_CLASS
যা O
অ্যালার্জির O
লক্ষণ O
যেমন O
-- O
হাঁচি, O
চুলকানি, O
জলযুক্ত O
চোখ O
এবং O
সর্দি O
নাক O
কমাতে O
ব্যবহৃত O
হয়। O

ক্লিন্ডামাইসিন O
মারাত্মক O
ডায়রিয়া B-DISEASE
বা I-DISEASE
অন্ত্রের I-DISEASE
জটিলতা I-DISEASE
সৃষ্টি O
করতে O
পারে O
যা O
জীবন-হুমকি O
হতে O
পারে। O
ক্লিন্ডামাইসিন O
গ্রহণ O
করার O
সময় O
আপনি O
যদি O
রক্তাক্ত O
বা O
জলযুক্ত O
ডায়রিয়া O
অনুভব O
করেন, O
তাহলে O
অবিলম্বে O
এর O
ব্যবহার O
বন্ধ O
করুন O
এবং O
ডাক্তারের O
পরামর্শ O
নিন। O
আপনার O
সাথে O
কোনো O
উদ্বেগ O
বা O
সম্ভাব্য O
পার্শ্বপ্রতিক্রিয়া O
নিয়ে O
আলোচনা O
করা O
অপরিহার্য O
স্বাস্থ্যসেবা O
কর্মী O
কোন O
ঔষধ O
শুরু O
করার O
আগে। O

গ্যাবাপেন্টিন O
অতিরিক্ত O
মাত্রায় O
গ্রহণ O
করলে O
গুরুতর O
পার্শ্বপ্রতিক্রিয়া O
যেমন O
অস্থিরতা, O
ক্রমবর্ধমান O
বিষণ্নতা, O
অনিয়ন্ত্রিত O
পেছন O
পেছন O
বা O
ঘূর্ণায়মান O
চোখের O
নড়াচড়া, O
অ্যালার্জির O
প্রতিক্রিয়া, O
ভারের O
প্রভাবের O
লক্ষণ O
ও O
উপসর্গ, O
যেমন O
ত্বক O
হলুদ O
হয়ে O
যাওয়া O
এবং O
চোখের O
সাদা, O
বমি O
হওয়া, O
অন্ধকার O
মূত্র, O
হালকা O
রঙের O
মল, O
এবং O
অস্বাভাবিক O
রক্তপাত O
বা O
ঘা।হতে O
পারে। O

সেটিরিজিন O
একটি O
জনপ্রিয় O
অ্যান্টিহিস্টামাইন B-PHARMACOLOGICAL_CLASS
বিশ্বব্যাপী O
লক্ষ O
millions O
মানুষের O
জন্য O
একটি O
গো-টু O
প্রতিকার O
হয়ে O
উঠেছে O
যারা O
অ্যালার্জি O
এবং O
খড় O
জ্বরে O
ভুগছেন। O
Cetirizine O
সর্দির O
মতো O
সাধারণ O
উপসর্গ O
থেকে O
মুক্তি O
দেয়, O
জলযুক্ত O
চোখ, O
এবং O
ত্বকের O
ফুসকুড়ি, O
ব্যবহারকারীদের O
অবিরাম O
অস্বস্তি O
ছাড়াই O
জীবন O
উপভোগ O
করার O
সুযোগ O
দেয়। O

আমার O
নানা O
ভাই O
এর O
খুব O
বেশি O
চোখ B-ORGAN
এ O
জ্বালা B-SYMPTOM
পুড়া B-SYMPTOM
করছে O

দুই O
থেকে O
তিন O
সপ্তাহের O
মধ্যে O
স্টেমসেল B-ORGAN
থেকে O
নতুন O
রক্তকণিকা B-ORGAN
তৈরি O
হতে O
শুরু O
করে O
। O

আমার O
বাম B-COMMON_MEDICAL_TERMS
হাত B-ORGAN
এ O
জোর B-SYMPTOM
পাচ্ছি O
না O
কোনো O
কাজ O
করতে O
পারছি O
না O

মেনোপজে, O
ইস্ট্রোজেন O
এবং O
প্রজেস্টেরন O
এর O
মাত্রা O
কমে O
গেলে, O
ত্বকে O
কোলাজেনের O
ক্ষতি O
হতে O
পারে, O
যার O
ফলে O
বলিরেখা O
এবং O
শুষ্কতা O
দেখা O
দেয়। O
প্রজেস্টেরন O
ট্যাবলেটগুলি O
শরীরের O
প্রাকৃতিক O
হরমোন B-PHARMACOLOGICAL_CLASS
উৎপাদনের O
পরিপূরক O
দ্বারা O
এই O
সমস্যাগুলি O
সমাধান O
করতে O
সাহায্য O
করতে O
পারে। O

আপনার O
স্বাস্থ্যসেবা O
প্রদানকারীর O
সাথে O
পরামর্শ O
না O
করে O
ক্লোপিডোগ্রেল O
নেওয়া O
বন্ধ O
করবেন O
না, O
কারণ O
এটি O
রক্ত O
​​​​জমাট O
বাঁধা O
এবং O
অন্যান্য O
গুরুতর O
স্বাস্থ্য O
সমস্যার O
ঝুঁকি O
বাড়াতে O
পারে। O

রোদ O
এ O
গেলে O
আমার O
চোখ B-ORGAN
এ O
পানি B-COMMON_MEDICAL_TERMS
আসে O

ওমেপ্রাজল O
পাকস্থলীর O
অ্যাসিড O
নিঃসরণ O
কমায়, O
যা O
এটিকে O
বেশ O
কিছু O
পাকস্থলী B-ORGAN
এবং O
খাদ্যনালীর O
সমস্যার O
চিকিৎসায় O
কার্যকর O
করে O
তোলে। O
অম্বল, O
গিলতে O
সমস্যা, O
এবং O
কাশি O
সব O
এটা O
দ্বারা O
উপশম O
হয়। O
এই O
ওষুধটি O
খাদ্যনালীর O
ক্যান্সার O
প্রতিরোধে O
সাহায্য O
করতে O
পারে O
এবং O
পাকস্থলী O
ও O
খাদ্যনালীর O
অ্যাসিডের O
ক্ষতি O
নিরাময়ে O
সাহায্য O
করতে O
পারে। O

ইনসুলিনের O
মাধ্যমে O
রক্তের B-ORGAN
শর্করা O
সহজে O
নিয়ন্ত্রণে O
রাখা O
সম্ভব O
, O
যেটি O
ট্যাবলেটের O
মাধ্যমে O
কষ্টসাধ্য O
। O

যদি O
আপনি O
বেনাড্রিলের O
একটি O
ডোজ O
মিস O
করেন, O
তাহলে O
মনে O
পড়ার O
সাথে O
সাথে O
গ্রহণ O
করুন। O
তবে, O
পরবর্তী O
ডোজ O
গ্রহণের O
সময় O
কাছাকাছি O
হলে, O
মিস O
করা O
ডোজটি O
বাদ O
দিয়ে O
নিয়মিত O
সময়ে O
পরবর্তী O
ডোজ O
গ্রহণ O
করুন। O

আমার O
মাড়ি B-ORGAN
ফুলে B-SYMPTOM
গেছে O
আর O
অনেক O
ব্যথা B-SYMPTOM
করছে O

মেনোপজকালীন O
মহিলাদের O
মধ্যে, O
গরম O
ঝলকানি, O
রাতের O
ঘাম O
এবং O
যোনি O
শুষ্কতার O
মতো O
উপসর্গগুলি O
উপশম O
করতে O
ইস্ট্রোজেনের O
পাশাপাশি O
প্রোজেস্টেরন O
ব্যবহার O
করা O
হয়। O
প্রজেস্টেরন O
ট্যাবলেট O
মেনোপজের O
পরে O
ইস্ট্রোজেন O
গ্রহণকারী O
মহিলাদের O
মধ্যে O
এন্ডোমেট্রিয়াল B-DISEASE
হাইপারপ্লাসিয়া I-DISEASE
প্রতিরোধে O
সাহায্য O
করে। O

গ্যাবাপেন্টিন O
একটি O
অ্যান্টিকনভালসেন্ট B-PHARMACOLOGICAL_CLASS
ঔষধ O
যা O
মৃগীরোগ O
এবং O
স্নায়ু O
ব্যথা O
চিকিৎসার O
জন্য O
ব্যবহৃত O
হয়। O

ক্লোরফেনিরামিন O
একটি O
অ্যান্টিহিস্টামিন B-PHARMACOLOGICAL_CLASS
যা O
অ্যালার্জির O
লক্ষণ O
যেমন O
-- O
হাঁচি, O
চুলকানি, O
জলযুক্ত O
চোখ O
এবং O
সর্দি O
নাক O
কমাতে O
ব্যবহৃত O
হয়। O

সেফডিনিরের O
কিছু O
সাধারণ O
ব্যবহার O
রয়েছে:ত্বক O
এবং O
নরম O
টিস্যু O
সংক্রমণ:সেলুলাইটিস O

আমার O
বাবা O
এর O
শরীর B-ORGAN
এ O
অনেক O
পানি B-COMMON_MEDICAL_TERMS
আসে O
আর O
শরীর B-ORGAN
ভাড় B-SYMPTOM
হয়ে O
থাকে O
ভালো O
ভাবে O
চলাফেরা O
করতে O
পারে O
না O

অ্যালবেন্ডাজল, O
একটি O
শক্তিশালী O
অ্যান্টিপ্যারাসাইটিক B-PHARMACOLOGICAL_CLASS
ড্রাগ, O
বিভিন্ন O
কৃমি O
সংক্রমণের O
চিকিৎসায় O
এর O
কার্যকারিতার O
জন্য O
মনোযোগ O
আকর্ষণ O
করেছে। O
এই O
বহুমুখী O
ওষুধটি O
অন্ত্র O
এবং O
টিস্যু O
উভয় O
পরজীবীকে O
প্রভাবিত O
করতে O
পারে O

ডক্সিসাইক্লিন O
একটি O
টেট্রাসাইক্লিন B-PHARMACOLOGICAL_CLASS
শ্রেণীর O
অ্যান্টিবায়োটিক O
যা O
ব্যাকটেরিয়া O
জনিত O
বিভিন্ন O
সংক্রমণের O
চিকিৎসায় O
ব্যবহৃত O
হয়, O
যেমন O
- O
ব্রণ, B-DISEASE
মূত্রনালীর I-DISEASE
সংক্রমণ, I-DISEASE
শ্বাসযন্ত্রের I-DISEASE
সংক্রমণ, I-DISEASE
যৌনবাহিত I-DISEASE
রোগ I-DISEASE
ইত্যাদি। O

আমার O
ছেলে O
দূর O
এর O
জিনিস O
ঠিকমত O
দেখতে O
পারে O
না O
ঝাপ্সা B-SYMPTOM
দেখে O

অন্যান্য O
ডায়ুরেটিকের O
সাথে O
দীর্ঘসময় O
ধরে O
ফিউরোসেমাইড O
ব্যবহারের O
ফলে O
ইলেকট্রোলাইট O
ও O
পানির O
ভারসাম্য O
নষ্ট O
হতে O
পারে। O

সেফডিনির O
গ্রহণ O
করার O
সময়, O
ওষুধ O
খাওয়ার O
আগে O
বা O
পরে O
২ O
ঘন্টার O
মধ্যে O
আপনার O
দুগ্ধজাত O
পণ্য, O
ক্যালসিয়াম-ফোর্টিফাইড O
খাবার O
এবং O
অ্যালুমিনিয়াম O
বা O
ম্যাগনেসিয়ামযুক্ত O
অ্যান্টাসিড B-COMMON_MEDICAL_TERMS
খাওয়া O
এড়িয়ে O
চলা O
উচিত। O
এই O
পদার্থগুলি O
সেফডিনিরের O
সাথে O
আবদ্ধ O
হতে O
পারে O
এবং O
এর O
শোষণ O
হ্রাস O
করতে O
পারে, O
এটি O
কম O
কার্যকর O
করে O
তোলে। O

ফ্যামোটিডিন O
একটি O
হিস্টামিন-২ B-PHARMACOLOGICAL_CLASS
রিসেপ্টর I-PHARMACOLOGICAL_CLASS
ব্লকার I-PHARMACOLOGICAL_CLASS
যা O
পাকস্থলীতে O
অ্যাসিড O
উৎপাদন O
কমিয়ে O
GERD O
এবং O
আলসার O
চিকিৎসায় O
ব্যবহৃত O
হয়। O

আমার O
বমি B-SYMPTOM
হয় O
আর O
বার O
বার O
বদ O
হজম B-SYMPTOM
হয় O

ফেক্সোফেনাডাইন O
হল O
অ্যান্টিহিস্টামিন O
বা O
অ্যান্টি-অ্যালার্জিক O
শ্রেণীর O
ওষুধের O
সদস্য। O
এটি O
বেশিরভাগই O
বিভিন্ন O
অ্যালার্জির O
চিকিত্সার O
জন্য O
ব্যবহৃত O
হয়। O
ফেক্সোফেনাডিন, O
একটি O
নির্বাচনী O
পেরিফেরাল O
H1-ব্লকার, O
চিকিৎসা O
অবস্থার O
চিকিৎসার O
জন্য O
ব্যবহার O
করা O
যেতে O
পারে। O
ফেক্সোফেনাডাইনের O
সক্রিয় O
উপাদান O
হল O
ফেক্সোফেনাডিন, O
একটি O
অ-তন্দ্রাহীন O
অ্যান্টিহিস্টামিন। O
যদিও O
কিছু O
লোক O
এখনও O
এটি O
গ্রহণ O
করার O
পরে O
তন্দ্রা O
অনুভব O
করে O
বলে O
অভিযোগ O
করে, O
এটি O
অ্যালার্জির O
চিকিৎসার O
জন্য O
ব্যবহৃত O
হয় O
কারণ O
এটি O
হিস্টামিনের O
ক্রিয়াকে O
অবরুদ্ধ O
করে, O
একটি O
রাসায়নিক O
যা O
সাধারণত O
অ্যালার্জির O
প্রতিক্রিয়ার O
সাথে O
যুক্ত। O

আমি O
ভাড়ি B-SYMPTOM
কোনো O
জিনিস O
বহন O
করতে O
পারি O
না O
মাজা B-ORGAN
হাত B-ORGAN
প্রচন্ড O
ব্যথা B-SYMPTOM
করে O

ব্রোমহেক্সিন O
বা O
এর O
নিষ্ক্রিয় O
উপাদানগুলিতে O
অ্যালার্জিযুক্ত O
ব্যক্তিদের O
অবশ্যই O
এই O
ওষুধটি O
এড়ানো O
উচিত। O
সাথে O
সতর্কতা O
অবলম্বন O
করুন O
আলসার, O
যকৃত, O
বা O
বৃক্ক O
রোগ O
ব্রোমহেক্সিন- O
এই O
অবস্থাগুলি O
আরও O
খারাপ O
করতে O
পারে। O
ডাক্তারের O
অনুমোদন O
ছাড়া O
১৪ O
দিনের O
বেশি O
ব্রোমহেক্সিন O
গ্রহণ O
করবেন O
না। O
দীর্ঘায়িত O
ব্যবহার O
ঝুঁকি O
বাড়াতে O
পারে। O

অনেকে O
মনে O
করছেন O
, O
এটা O
সাধারণ O
সর্দি B-DISEASE
- O
জ্বর B-DISEASE
, O
শীতকাল O
বা O
মৌসুম O
বদলের O
সময় O
এসব O
হয়েই O
থাকে O
। O

যদি O
আপনি O
সিট্রিজিনের O
একটি O
ডোজ O
মিস O
করেন, O
তাহলে O
মনে O
পড়ার O
সাথে O
সাথে O
গ্রহণ O
করুন। O
তবে, O
পরবর্তী O
ডোজ O
গ্রহণের O
সময় O
কাছাকাছি O
হলে, O
মিস O
করা O
ডোজটি O
বাদ O
দিয়ে O
নিয়মিত O
সময়ে O
পরবর্তী O
ডোজ O
গ্রহণ O
করুন। O

সেফিক্সাইম O
হল O
একটি O
অ্যান্টিবায়োটিক O
যা O
সেফালোস্পোরিন B-PHARMACOLOGICAL_CLASS
নামে O
পরিচিত O
ওষুধের O
শ্রেণীর O
অন্তর্গত। O
এর O
কর্মের O
প্রক্রিয়া O
ব্যাকটেরিয়া O
কোষের O
দেয়ালের O
সংশ্লেষণকে O
বাধা O
দেয়। O
বিশেষত, O
ব্যাকটেরিয়া O
কোষের O
ঝিল্লিতে O
অবস্থিত O
পেনিসিলিন-বাইন্ডিং O
প্রোটিন O
(PBPs) O
নামক O
নির্দিষ্ট O
প্রোটিনের O
সাথে O
আবদ্ধ O
হয়ে O
সেফিক্সাইম O
ব্যাকটেরিয়া O
কোষ O
প্রাচীর O
সংশ্লেষণের O
চূড়ান্ত O
ধাপে O
হস্তক্ষেপ O
করে। O

Glimepiride O
এর O
নির্দিষ্ট O
ডোজ O
পৃথক O
চাহিদা O
এবং O
ওষুধের O
প্রতিক্রিয়ার O
উপর O
নির্ভর O
করে O
পরিবর্তিত O
হয়। O
সাধারণত, O
প্রাথমিক O
ডোজ O
কম O
এবং O
ধীরে O
ধীরে O
বাড়ানো O
যেতে O
পারে। O
সঠিক O
ডোজ O
এবং O
সময়ের O
জন্য O
আপনার O
ডাক্তারের O
সুপারিশ O
অনুসরণ O
করা O
অপরিহার্য, O
যা O
প্রতিদিন O
1 O
মিলিগ্রাম O
থেকে O
8 O
মিলিগ্রাম O
পর্যন্ত O
হতে O
পারে। O

আমার O
আব্বু O
এর O
বাম B-COMMON_MEDICAL_TERMS
হাত B-ORGAN
এর O
আর O
বাম B-COMMON_MEDICAL_TERMS
পা B-ORGAN
এর O
বৃদ্ধ O
আঙ্গুল B-ORGAN
ফুলে B-SYMPTOM
আছে O
আর O
অনেক O
ব্যথা B-SYMPTOM
করছে O

ফুসফুস B-ORGAN
থেকে O
অক্সিজেন O
বহন O
করে O
শরীরের B-ORGAN
সর্বত্র O
সরবরাহ O
করে O
এবং O
কার্বন O
ডাই O
গ্রহণ O
করে O
ফুসফুস B-ORGAN
দিয়ে O
বের O
করে O
দেয় O
। O

ভিটামিন B-PHARMACOLOGICAL_CLASS
বি O
কমপ্লেক্স O
হল O
বিভিন্ন O
ধরণের O
ভিটামিন O
বি O
এর O
একটি O
সংমিশ্রণ। O
তাই, O
উপাদানগুলি O
পরীক্ষা O
করে O
দেখুন O
যে O
আপনার O
কোনটিতে O
অ্যালার্জি O
আছে O
কিনা। O
এছাড়াও, O
আপনাকে O
অবশ্যই O
ভিটামিন O
বি O
কমপ্লেক্সকে O
একটি O
অতিরিক্ত O
খাদ্যতালিকাগত O
পরিপূরক O
হিসাবে O
বিবেচনা O
করতে O
হবে O
এবং O
এটি O
কোনওভাবেই O
স্বাস্থ্যকর, O
সুষম O
খাদ্যের O
জন্য O
ক্ষতিপূরণ O
দেয় O
না। O
আপনি O
এখনও O
একটি O
স্বাস্থ্যকর, O
সুষম O
খেতে O
হবে, O
পুষ্টি O
সমৃদ্ধ O
খাদ্য O

সালবুটামল O
একটি O
বিটা B-PHARMACOLOGICAL_CLASS
2-অ্যাড্রেনার্জিক I-PHARMACOLOGICAL_CLASS
অ্যাগোনিস্ট I-PHARMACOLOGICAL_CLASS
যা O
শ্বাসনালীতে O
বিটা O
2-অ্যাড্রেনার্জিক O
রিসেপ্টরের O
উপর O
কাজ O
করে O
মসৃণ O
পেশী O
শিথিল O
করে। O
এটি O
হাঁপানি, O
COPD O
এবং O
অন্যান্য O
শ্বাসকষ্টজনিত O
রোগের O
ক্ষেত্রে O
শ্বাস O
প্রশ্বাস O
সহজ O
করতে O
সাহায্য O
করে। O

এজিথ্রোমাইসিন O
একটি O
এজালাইড B-PHARMACOLOGICAL_CLASS
এন্টিবায়োটিক I-PHARMACOLOGICAL_CLASS
যা O
গ্রাম-পজেটিভ O
ও O
গ্রাম-নেগেটিভ O
অনুজীবসমূহের O
বিরুদ্ধে O
কার্যকরী। O

আমি O
দাঁড়ালে O
কেমন O
যেন O
মন O
এ O
হয় O
পা B-ORGAN
এর O
নিচ B-COMMON_MEDICAL_TERMS
এ O
কিছু O
বাধছে O

চিকিৎসা O
পরিস্থিতি O
এবং O
স্বাস্থ্যসেবা O
প্রদানকারীর O
নির্দেশের O
উপর O
নির্ভর O
করে O
মৌখিকভাবে, O
শিরায় O
(IV), O
বা O
ইন্ট্রামাসকুলারলি O
(IM) O
সহ O
বিভিন্ন O
উপায়ে O
অ্যাট্রোপিন O
দেওয়া O
যেতে O
পারে। O

বিষণ্নতার O
চিকিৎসায় O
এর O
ব্যবহার O
ছাড়াও, O
বুপ্রোপিয়ন O
ধূমপান O
ত্যাগের O
সহায়ক O
হিসেবে O
স্বীকৃতি O
লাভ O
করেছে। O
এই O
এলাকায় O
এর O
কার্যকারিতা O
ডোপামিন O
পুনরায় O
গ্রহণকে O
বাধা O
দেওয়ার O
ক্ষমতা O
থেকে O
উদ্ভূত O
হয়, O
যা O
নিকোটিন O
আসক্তির O
সাথে O
যুক্ত O
পুরস্কারের O
পথগুলিতে O
ভূমিকা O
পালন O
করে। O
উপরন্তু, O
বুপ্রোপিওন O
নিকোটিনিক O
অ্যাসিটাইলকোলিনার্জিক O
রিসেপ্টরের O
প্রতিপক্ষ O
হিসাবে O
কাজ O
করে, O
এটির O
তৃষ্ণা-বিরোধী O
এবং O
প্রত্যাহার-বিরোধী O
প্রভাবকে O
আরও O
সমর্থন O
করে। O

ঔষধ B-COMMON_MEDICAL_TERMS
গ্রহণ O
করলে O
মাথা B-DISEASE
ব্যাথা, I-DISEASE
বমি I-DISEASE
বমি I-DISEASE
ভাব, I-DISEASE
ডায়রিয়া, I-DISEASE
কোষ্ঠকাঠিন্য I-DISEASE
, I-DISEASE
পেটে I-DISEASE
ব্যথা I-DISEASE
হতে I-DISEASE
পারে। I-DISEASE
, I-DISEASE
ফ্ল্যাটুলেন্স I-DISEASE
এবং I-DISEASE
শুকনো I-DISEASE
মুখ I-DISEASE
। O

প্রজেস্টেরন B-HORMONE
প্রজনন O
স্বাস্থ্যের O
জন্য O
একটি O
গুরুত্বপূর্ণ O
ভূমিকা O
পালন O
করে। O
এটি O
মাসিক O
চক্রকে O
নিয়ন্ত্রণ O
করে, O
গর্ভাবস্থার O
জন্য O
জরায়ুর O
আস্তরণ O
প্রস্তুত O
করে O
এবং O
গর্ভধারণকে O
সমর্থন O
করে। O
এই O
হরমোন B-PHARMACOLOGICAL_CLASS
জরায়ুর O
আস্তরণকে O
পুরু O
করে, O
মায়োমেট্রিয়াল O
সংকোচন O
